Tour,Temps au tour (min:sec),Quantité d'essence (litres),Température de la piste (°C),Température de l'air (°C),Humidité (%)
1,1:45.200,95,29,23,66
2,1:45.800,93,29,23,65
3,1:45.500,91,29,23,64
4,1:45.700,89,28,22,63
5,1:45.600,87,28,22,62
6,1:45.400,85,28,22,61
7,1:45.900,83,27,22,60
8,1:46.000,81,27,22,59
9,1:45.800,79,27,22,58
10,1:45.500,77,27,21,57
11,1:45.600,75,26,21,56
12,1:45.700,73,26,21,55
13,1:45.900,71,26,21,54
14,1:45.800,69,26,21,53
15,1:46.100,67,25,21,52
16,1:46.200,65,25,21,51
17,1:46.300,63,25,21,50
18,1:46.400,61,25,21,49
19,1:46.100,59,24,21,48
20,1:45.900,57,24,21,47
21,1:46.000,55,24,21,46
22,1:45.800,53,24,21,45
23,1:45.700,51,24,21,44
24,1:45.600,49,23,20,43
25,1:45.500,47,23,20,42
26,1:45.300,45,23,20,41
27,1:45.400,43,23,20,40
28,1:45.500,41,23,20,39
29,1:45.700,39,23,20,38
30,1:45.800,37,22,20,37
31,1:45.600,35,22,20,36
32,1:45.500,33,22,20,35
33,1:45.400,31,22,20,34
34,1:45.600,29,22,19,33
35,1:45.800,27,22,19,32
36,1:46.000,25,22,19,31
37,1:45.700,23,22,19,30
38,1:45.800,21,21,19,29
39,1:45.900,19,21,19,28
40,1:45.600,17,21,19,27
41,1:45.500,15,21,19,26
42,1:45.700,13,21,19,25
43,1:45.900,11,21,19,24
44,1:46.000,9,20,19,23
45,1:45.800,7,20,19,22
46,1:45.600,5,20,19,21
